RELEVANT_IMPRESSIONS_DAILY,FROM_IDEOLOGY,TO_IDEOLOGY,FROM_MEDIA,TO_MEDIA,FROM_LR,TO_LR
0,Center/Left MSM,Religious Conservative,Missing Link Media,Missing Link Media,L,R
0.2845454545,Socialist,Partisan Right,YouTube,Missing Link Media,C,R
0.1495082386,White Identitarian,Anti-SJW,YouTube,YouTube,C,R
0.03422307528,Anti-theist,Black,YouTube,YouTube,L,R
0,White Identitarian,White Identitarian,YouTube,YouTube,R,C
0,Unclassified,Black,Mainstream Media,YouTube,L,L
0.02695309091,LGBT,Partisan Right,YouTube,YouTube,L,C
0,Partisan Right,Center/Left MSM,Mainstream Media,Missing Link Media,C,L
0,Unclassified,Anti-SJW,Mainstream Media,Missing Link Media,L,R
1.04808642,Libertarian,Religious Conservative,YouTube,YouTube,C,C
0.1813951918,LGBT,Anti-theist,YouTube,YouTube,C,L
0.001207386364,Partisan Right,Social Justice,YouTube,Mainstream Media,C,C
0.06632671165,Partisan Right,Socialist,YouTube,YouTube,C,C
0.1998567614,Socialist,Center/Left MSM,YouTube,Missing Link Media,C,C
0.2611796023,Conspiracy,Libertarian,YouTube,YouTube,L,R
0,Social Justice,MRA,Mainstream Media,YouTube,C,C
0.03882579545,Conspiracy,Religious Conservative,YouTube,YouTube,L,C
0.02151017045,Partisan Right,Partisan Left,Missing Link Media,Mainstream Media,R,C
0,Social Justice,Conspiracy,Missing Link Media,YouTube,L,L
0,Center/Left MSM,Conspiracy,Missing Link Media,YouTube,C,L
0,Social Justice,Social Justice,Mainstream Media,Missing Link Media,C,L
0,QAnon,Partisan Left,YouTube,Mainstream Media,C,C
0,Partisan Right,Conspiracy,Missing Link Media,YouTube,R,L
1.585361207,Black,Religious Conservative,YouTube,YouTube,R,C
0,Partisan Right,Unclassified,Missing Link Media,Mainstream Media,R,L
0.04730113636,Socialist,Social Justice,YouTube,YouTube,C,C
0,Black,LGBT,YouTube,YouTube,L,C
0,Partisan Right,Anti-SJW,Mainstream Media,YouTube,C,L
2311311.05324268,Religious Conservative,Religious Conservative,YouTube,YouTube,R,R
301034.905898536,Center/Left MSM,Unclassified,Mainstream Media,Mainstream Media,L,R
583.516167374,,Socialist,,YouTube,,L
4.856742608,,Anti-theist,,YouTube,,L
11004.366393202,MRA,Libertarian,YouTube,YouTube,R,R
96.652025743,,White Identitarian,,YouTube,,R
84044.162303658,Center/Left MSM,Anti-SJW,Mainstream Media,YouTube,L,C
105739.505158624,MRA,Unclassified,YouTube,YouTube,R,C
1344.83336058,,Partisan Left,,Mainstream Media,,L
675835.994498275,Social Justice,Partisan Left,YouTube,YouTube,L,L
1266.040685222,Partisan Left,QAnon,YouTube,YouTube,L,R
9195324.02091868,Center/Left MSM,Center/Left MSM,Mainstream Media,Mainstream Media,L,C
1469911.91909503,Partisan Left,Unclassified,Mainstream Media,YouTube,L,C
52.398887929,,Unclassified,,Mainstream Media,,R
3.384793864,Religious Conservative,QAnon,YouTube,YouTube,R,C
537249.356874269,Center/Left MSM,Social Justice,Mainstream Media,Missing Link Media,C,L
24252160.6599897,Anti-SJW,Anti-SJW,YouTube,YouTube,C,C
6140.515482403,Unclassified,QAnon,YouTube,YouTube,R,R
273505.784524611,Libertarian,Center/Left MSM,YouTube,Mainstream Media,R,C
675146.01843075,Anti-SJW,Anti-SJW,YouTube,YouTube,C,R
333493.862874175,Center/Left MSM,Partisan Left,Mainstream Media,YouTube,L,L
19927.622065365,Black,Partisan Right,YouTube,YouTube,C,R
46541.29548326,Social Justice,Black,Missing Link Media,YouTube,L,C
63240.540744253,Unclassified,Partisan Right,YouTube,YouTube,R,R
128.740297976,Libertarian,Socialist,YouTube,YouTube,R,C
206377.753927172,Partisan Left,Anti-SJW,Mainstream Media,YouTube,L,C
0,,Social Justice,,YouTube,,C
1702369.79799109,Partisan Right,Center/Left MSM,YouTube,Mainstream Media,R,C
271116.75452528,Conspiracy,Conspiracy,YouTube,YouTube,C,C
21567.138062871,QAnon,Social Justice,YouTube,YouTube,R,L
53462.139580891,Anti-SJW,Socialist,YouTube,YouTube,C,L
331005.350752022,Religious Conservative,Unclassified,YouTube,YouTube,R,C
427937.212629594,Unclassified,Partisan Right,YouTube,Mainstream Media,C,R
585399.22977745,Partisan Left,Unclassified,YouTube,YouTube,L,C
4569.80881187,Anti-SJW,Partisan Right,Missing Link Media,Missing Link Media,R,R
130.49419221,Partisan Left,White Identitarian,Mainstream Media,YouTube,L,R
6639625.78566569,Social Justice,Partisan Left,Mainstream Media,Mainstream Media,L,L
95225.515599511,White Identitarian,Anti-SJW,YouTube,YouTube,R,R
296506.624604394,Black,Black,YouTube,YouTube,L,L
9.585091615,Socialist,Partisan Left,YouTube,YouTube,C,L
286530.250794508,Anti-SJW,Social Justice,YouTube,Missing Link Media,R,L
372201.000985199,Anti-SJW,Unclassified,YouTube,YouTube,C,C
2.476423298,Black,Partisan Left,YouTube,Mainstream Media,C,C
0.1124394374,MRA,LGBT,YouTube,YouTube,R,C
4066.151564328,Anti-SJW,Partisan Right,YouTube,YouTube,R,C
428783.892460287,Anti-theist,Anti-theist,YouTube,YouTube,C,C
44476.014693728,QAnon,Partisan Left,YouTube,YouTube,R,L
2893.029771942,Center/Left MSM,Religious Conservative,Mainstream Media,Missing Link Media,L,R
153328.759347968,Socialist,Unclassified,YouTube,YouTube,L,C
5944625.419596,Social Justice,Social Justice,Missing Link Media,Missing Link Media,L,L
549.613769548,Black,Partisan Right,YouTube,Missing Link Media,C,R
38934.933909448,Black,Partisan Left,YouTube,YouTube,C,L
7705.655065316,Unclassified,Libertarian,Mainstream Media,YouTube,R,R
310633.049920655,Social Justice,Unclassified,Missing Link Media,YouTube,L,C
98270.560226113,Partisan Left,Libertarian,YouTube,YouTube,L,R
35.846522039,Anti-theist,QAnon,YouTube,YouTube,C,R
93323.942030187,Black,Social Justice,YouTube,Mainstream Media,L,L
245.626894851,Unclassified,QAnon,Mainstream Media,YouTube,R,R
1527.597346768,Unclassified,Religious Conservative,Mainstream Media,YouTube,R,R
1750.612437156,Partisan Left,Social Justice,Mainstream Media,YouTube,L,C
2552.162566943,Conspiracy,Black,YouTube,YouTube,R,L
9653.555792345,MRA,Social Justice,YouTube,Mainstream Media,R,L
1805.949280643,MRA,Social Justice,YouTube,Missing Link Media,R,L
317.979059935,Anti-SJW,Anti-theist,Missing Link Media,YouTube,R,L
1334856.60669791,Partisan Right,Center/Left MSM,Mainstream Media,Mainstream Media,R,L
23.385819846,,Partisan Right,,Missing Link Media,,R
563151.9511853,Partisan Left,Social Justice,Mainstream Media,YouTube,L,L
19928.744975408,Center/Left MSM,Conspiracy,Mainstream Media,YouTube,L,C
174034.283501657,Libertarian,Unclassified,YouTube,YouTube,R,C
293606.229850125,QAnon,QAnon,YouTube,YouTube,R,R
81257.688746583,Partisan Right,Partisan Right,YouTube,Missing Link Media,R,R
183667.065859741,Partisan Left,Partisan Right,YouTube,YouTube,L,R
24537.291751537,Conspiracy,Partisan Left,YouTube,YouTube,C,L
4527.177552784,Partisan Right,White Identitarian,YouTube,YouTube,R,R
167.821996634,Social Justice,White Identitarian,Mainstream Media,YouTube,L,R
106515.745348634,Conspiracy,Anti-SJW,YouTube,YouTube,C,C
5153.222882425,Unclassified,Social Justice,YouTube,Missing Link Media,L,L
1315.006310945,Socialist,Conspiracy,YouTube,YouTube,L,R
61165.047820852,Socialist,Social Justice,YouTube,Mainstream Media,L,L
18910.50656226,Partisan Right,Black,Mainstream Media,YouTube,R,C
